,P10,P25,P50,P75,P90
return_on_equity_pct,8.370767521615225,11.671358898635695,16.716051794688113,26.00564274915637,48.27674122146251
roce_percentage,6.63,9.98,16.5,26.740000000000002,40.0
net_profit_margin_pct,4.60996999769213,7.232424227856129,14.128209309488865,20.3643913103396,29.282025230717128
operating_profit_margin_pct,9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612
debt_to_equity,0.008129006675038002,0.058099743078219884,0.43491620111731844,1.5942703351364202,6.445624336310825
interest_coverage,1.683149710696131,3.3651979956382227,11.358399153316476,58.210699885829484,192.9405714285715
asset_turnover,0.07325702420450533,0.21198146242264468,0.6788531553398058,1.134077393208722,1.6559406621205455
free_cash_flow_cr,-14556.0,-1315.0,1095.0,8078.0,20445.0
sales_cagr_5yr,4.6799560539164675,8.143732685400384,11.825154521824267,17.183239296281414,21.08864867789759
pat_cagr_5yr,0.0,7.71428562052654,14.909565182041629,23.37796094855478,36.13077689773863
